"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"785524920637939713","","","2016-10-10 16:58:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GitHub Dumps REST Calls for Facebook’s GraphQL  https://t.co/a3npRUoyRs","","","","http://thenewstack.io/github-dumps-rest-graphql-api/"
"785460211121291264","","","2016-10-10 12:41:22 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @MerrileeIAm: RAMP marries archival finding aids with WorldCat Identities &amp; VIAF (from OCLC) &amp; produces Wikipedia so of course I love it…","785271996405788672","9148432","2016-10-10 00:13:28 +0000",""
"784072552322785280","","","2016-10-06 16:47:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just starting to rain in my part of Miami. #HurricaneMatthew Graziano's is still open if you need to stock up on Yerba Mate or chimichurri","","","",""
"783719880570839040","","","2016-10-05 17:25:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @wilkieii: We are living in a world where you might not own your hardware and you subscribe to software. That's not progress. What a stu…","783708107021094912","17047955","2016-10-05 16:39:07 +0000",""
"783718090815246336","783717130307067904","21232655","2016-10-05 17:18:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@NKrabben that would be very handy. Here's our current bag usage rules: https://t.co/K5QM9b6GSA They are very specific to UML's storage use","","","","https://gist.github.com/little9/8bfb3c5e4b3d3c64c24619006dd90276"
"783715999417851904","783714776270733312","21232655","2016-10-05 17:10:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@NKrabben There's this https://t.co/16BPkN4Meq the APTrust profile requires a specific text file in the bag. Not sure if this addresses that","","","","https://github.com/ruebot/bagit-profiles"
"783708123982888960","","","2016-10-05 16:39:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Using Celery for automating digital preservation workflows https://t.co/EH30xEg2eC","","","","http://jamielittle.org/2016/10/05/celery.html"
"783693620637470720","","","2016-10-05 15:41:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I'm currently uploading the Miami Hurricane 1927-2015 to @APTrust and hoping it finishes before #HurricaneMatthew https://t.co/txQaT4bwXi","","","","http://merrick.library.miami.edu/archives/hurricane/"
"783448654606503936","","","2016-10-04 23:28:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @LizziePaton: This season's @Chanel catwalks are full of loose wires #PFW https://t.co/DRQgdRKeqK","783215185687375872","252683203","2016-10-04 08:00:26 +0000","https://twitter.com/LizziePaton/status/783215185687375872/video/1,https://twitter.com/LizziePaton/status/783215185687375872/video/1"
"783371192736608256","","","2016-10-04 18:20:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","“Why Podcasting Still Needs RSS” by @chrisrhoden https://t.co/hljTbOwFdz","","","","https://about.radiopublic.com/why-podcasting-still-needs-rss-6a2779e94e96#.2lf3jq3xw"
